chr_name,site,treated_total_counts,treated_deletion_counts,treated_deletion_ratio,ctrl_total_counts,ctrl_deletion_counts,ctrl_deletion_ratio,p_value,chr_site
NM_000291.4,942,26,2,0.0769230769230769,99,0,0.0,0.0419354838709677,chrX_78123287
NM_000320.3,662-663,7,3,0.4285714285714285,23,0,0.0,0.0086206896551724,chr4_17490665-17490664
NM_000454.5,228-230,111,7,0.063063063063063,287,2,0.0069686411149825,0.0027014933598711,chr21_31663868-31663870
NM_000454.5,270-272,165,11,0.0666666666666666,624,2,0.0032051282051282,8.747100749441038e-08,chr21_31666472-31666474
NM_000454.5,657-661,32,2,0.0625,126,0,0.0,0.0399903249213899,chr21_31668693-31668697
NM_000454.5,667-668,37,3,0.081081081081081,135,0,0.0,0.0093239254085967,chr21_31668703-31668704
NM_000484.4,1452-1454,25,3,0.12,106,0,0.0,0.0062816643679416,chr21_25975226-25975224
NM_000484.4,1683-1685,23,3,0.1304347826086956,56,0,0.0,0.0223953261927945,chr21_25955681-25955679
NM_000484.4,2746,11,2,0.1818181818181818,62,0,0.0,0.0209284627092846,chr21_25881387
NM_000484.4,2973-2980,50,6,0.12,132,4,0.0303030303030303,0.0448531433950476,chr21_25881160-25881153
NM_000597.3,656,32,3,0.09375,130,0,0.0,0.0071313549574419,chr2_216660666
NM_000637.5,2788-2789,6,2,0.3333333333333333,19,0,0.0,0.0499999999999999,chr8_30678312-30678311
NM_000692.5,1318,10,2,0.2,46,0,0.0,0.0292207792207792,chr9_38396951
NM_000786.4,2812-2813,22,3,0.1363636363636363,86,0,0.0,0.0075432512392484,chr7_92112496-92112495
NM_000937.5,3788-3790,18,4,0.2222222222222222,47,0,0.0,0.0045196738745125,chr17_KV575245v1_fix_128856-128858
NM_000937.5,4286,13,4,0.3076923076923077,71,0,0.0,0.0003705621297941,chr17_KV575245v1_fix_131745
NM_000937.5,6075,24,2,0.0833333333333333,96,0,0.0,0.0386554621848739,chr17_KV575245v1_fix_134397
NM_000968.4,134-136,502,47,0.0936254980079681,1683,7,0.0041592394533571,9.154279634025989e-30,chr15_66503464-66503462
NM_000972.3,2-4,28,7,0.25,90,3,0.0333333333333333,0.0013426871127353,chr9_KN196479v1_fix_174313-174315
NM_000972.3,208,377,66,0.1750663129973474,1101,1,0.0009082652134423,7.68650736061493e-44,chr9_KN196479v1_fix_175702
NM_000976.4,218,521,29,0.055662188099808,1875,1,0.0005333333333333,1.26501678151192e-22,chr9_127449691
NM_000979.4,616,104,19,0.1826923076923076,606,1,0.0016501650165016,1.7134575255456892e-23,chr19_48615358
NM_000980.4,247,226,23,0.1017699115044247,902,4,0.0044345898004434,8.997335440097307e-17,chr19_17862095
NM_000982.4,261-262,465,32,0.0688172043010752,1700,0,0.0,1.7772444163606686e-22,chr13_27255333-27255334
NM_000983.4,266,150,11,0.0733333333333333,580,3,0.0051724137931034,3.5522659745354e-07,chr1_6186815
NM_000983.4,313,231,27,0.1168831168831168,976,3,0.0030737704918032,1.7367993276701605e-22,chr1_6186768
NM_000983.4,1785-1786,13,3,0.2307692307692307,27,0,0.0,0.0289473684210526,chr1_6185296-6185295
NM_000983.4,1908-1910,21,3,0.1428571428571428,45,0,0.0,0.0290646853146853,chr1_6185173-6185171
NM_000990.5,179-181,659,126,0.1911987860394537,2080,20,0.0096153846153846,4.34358491357573e-73,chr11_8684731-8684733
NM_000994.4,199-200,1074,128,0.1191806331471136,3657,0,0.0,7.987108915091428e-86,chr3_12839505-12839504
NM_000997.5,6528-6531,3,2,0.6666666666666666,13,0,0.0,0.025,chr5_40826307-40826304
NM_000998.5,157,1411,322,0.2282069454287739,5187,25,0.0048197416618469,1.379478655799063e-243,chr2_216499392
NM_001001433.3,949,5,2,0.4,18,0,0.0,0.0395256916996047,chr20_58667570
NM_001001563.5,491-492,19,5,0.2631578947368421,68,0,0.0,0.0003146967524123,chr19_39485790-39485791
NM_001004067.4,911-912,12,9,0.75,59,0,0.0,2.954055858726698e-09,chr16_KI270853v1_alt_1909997-1909998
NM_001004067.4,2885-2886,25,2,0.08,103,0,0.0,0.0369094488188976,chr16_KI270853v1_alt_1935480-1935481
NM_001004067.4,3152-3153,21,2,0.0952380952380952,133,0,0.0,0.017825311942959,chr16_KI270853v1_alt_1938324-1938325
NM_001004067.4,3528-3530,45,4,0.0888888888888888,124,0,0.0,0.0045432055970756,chr16_KI270853v1_alt_1945815-1945817
NM_001004067.4,4209-4212,74,7,0.0945945945945946,245,0,0.0,2.8830540286278776e-05,chr16_KI270853v1_alt_1952705-1952708
NM_001004419.5,2095-2096,45,10,0.2222222222222222,91,1,0.0109890109890109,8.967149096403255e-05,chr12_9696289-9696290
NM_001004431.3,709-710,4,2,0.5,17,0,0.0,0.0285714285714285,chr17_KI270860v1_alt_18558-18557
NM_001005339.2,268-269,2,1,0.5,47,0,0.0,0.0408163265306122,chr10_119526100-119526099
NM_001005386.3,741-742,40,5,0.125,118,0,0.0,0.0008548278503778,chr2_65255606-65255607
NM_001005386.3,3096,16,2,0.125,60,0,0.0,0.0421052631578947,chr2_65270551
NM_001005741.3,2110,21,4,0.1904761904761904,63,0,0.0,0.0031018382472981,chr1_GL383519v1_alt_39709
NM_001006.5,256,318,22,0.0691823899371069,1001,1,0.0009990009990009,4.285478167282538e-15,chr4_151101039
NM_001008709.2,1235-1238,72,4,0.0555555555555555,284,0,0.0,0.0015634415783746,chr11_67398402-67398399
NM_001008938.4,3844-3845,11,2,0.1818181818181818,39,0,0.0,0.0448979591836734,chr11_46763121-46763120
NM_001008938.4,4963-4965,12,2,0.1666666666666666,54,0,0.0,0.0307692307692307,chr11_46754892-46754890
